no,name,listing_date,offering_price,open_price,close_price,open_return,close_return,competition_ratio,lockup_ratio,float_ratio,price_position,band_low,band_high,final_price
2226,세나테크놀로지,2025-11-14,56800,122600,80200,115.8450704225352,41.19718309859155,976.92,17.04,63.77,upper,47500,56800,56800
2235,큐리오시스,2025-11-13,22000,88000,88000,300.0,300.0,1031.39,55.67,,upper,18000,22000,22000
2225,이노테크,2025-11-07,14700,50300,58800,242.17687074829934,300.0,1072.41,56.03,34.9,upper,12900,14700,14700
2227,노타,2025-11-03,9100,22500,31000,147.25274725274727,240.65934065934064,1058.2,59.75,44.8,upper,7600,9100,9100
2220,명인제약(유가),2025-10-01,58000,119800,121900,106.55172413793103,110.17241379310346,488.95,62.08,58.47,upper,45000,58000,58000
2223,삼성스팩11호,2025-09-30,2000,2160,1988,8.0,-0.6,1091.43,0.0,100.0,upper,2000,2000,2000
2224,KB스팩33호,2025-09-30,2000,1983,1976,-0.8500000000000001,-1.2,915.9,0.0,100.0,upper,2000,2000,2000
2219,에스투더블유,2025-09-19,13200,26000,23950,96.96969696969697,81.43939393939394,1145.4,22.86,,upper,11400,13200,13200
2209,그래피,2025-08-25,15000,11600,11260,-22.666666666666664,-24.933333333333334,182.15,0.0,100.0,below_band,17000,20000,15000
2213,제이피아이헬스케어(구.정원정밀공업),2025-08-21,20000,28000,21700,40.0,8.5,942.71,3.03,30.94,upper,16500,20000,20000
2218,삼성스팩10호,2025-08-21,2000,2130,1977,6.5,-1.15,1017.78,0.0,100.0,upper,2000,2000,2000
2217,한라캐스트,2025-08-20,5800,7840,5920,35.172413793103445,2.0689655172413794,832.89,5.82,62.23,upper,5100,5800,5800
2211,에스엔시스,2025-08-19,30000,51000,45000,70.0,50.0,739.17,27.37,62.12,upper,27000,30000,30000
2206,삼양컴텍,2025-08-18,7700,16010,16640,107.92207792207793,116.1038961038961,565.55,48.37,100.0,upper,6600,7700,7700
2207,지투지바이오,2025-08-14,58000,86500,93800,49.137931034482754,61.724137931034484,810.6,15.64,100.0,upper,48000,58000,58000
2212,교보스팩18호,2025-08-14,2000,2310,1984,15.5,-0.8,1233.11,0.0,100.0,upper,2000,2000,2000
2204,아이티켐,2025-08-07,16100,38800,31050,140.9937888198758,92.85714285714286,1157.98,23.83,81.84,upper,14500,16100,16100
2215,하나스팩35호,2025-08-06,2000,2565,1985,28.249999999999996,-0.75,1205.51,0.0,100.0,upper,2000,2000,2000
2210,대한조선(유가),2025-08-01,50000,89100,92400,78.2,84.8,275.66,56.86,45.04,upper,42000,50000,50000
2197,프로티나,2025-07-29,14000,23750,17550,69.64285714285714,25.357142857142854,1199.2,8.11,100.0,upper,11000,14000,14000
2199,엔알비,2025-07-28,21000,21300,16660,1.4285714285714286,-20.666666666666668,800.83,0.77,100.0,upper,18000,21000,21000
2200,뉴로핏,2025-07-25,14000,28600,20300,104.28571428571429,45.0,1087.6,12.08,64.08,upper,11400,14000,14000
2193,도우인시스,2025-07-23,32000,54400,44350,70.0,38.59375,785.41,3.58,33.9,upper,29000,32000,32000
2201,LS스팩1호,2025-07-22,2000,2695,2600,34.75,30.0,1254.36,0.0,100.0,upper,2000,2000,2000
2205,디비금융스팩14호,2025-07-22,2000,2130,1987,6.5,-0.65,1243.67,0.0,100.0,upper,2000,2000,2000
2196,아우토크립트,2025-07-15,22000,31750,30850,44.31818181818182,40.22727272727273,995.34,5.28,100.0,upper,18700,22000,22000
